,tourney_name,year,player_tier,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,total_points,l_total_points,return_points_won%,ace%,1stSvWin%,1stSvWin%_difference,2ndSvWin%,2ndSvWin%_difference,bpSaved%_difference,points_percentage,bpFaced%
81,Cincinnati Masters,2002,top2-8,7.0,2.96,69.08,40.92,32.16,16.16,2.4,3.48,7.2,3.8,74.4,43.92,31.28,12.68,4.44,7.68,78.76,64.72,43.44,49.3,78.59,7.37,57.39,15.79,11.16,54.89,31.18
82,Cincinnati Masters,2003,champion,10.33,2.33,65.5,41.5,33.83,14.0,1.67,2.0,5.83,3.17,65.67,37.83,26.83,13.17,2.17,4.5,73.5,57.67,41.03,63.92,81.52,10.6,58.33,11.02,35.28,56.03,30.77
83,Cincinnati Masters,2003,top2-8,7.8,2.4,72.96,45.68,35.52,15.2,2.48,3.44,6.56,3.6,74.92,42.88,30.56,15.56,4.08,7.16,79.52,68.36,39.54,54.32,77.76,6.49,55.72,7.16,15.11,53.77,32.45
84,Cincinnati Masters,2004,champion,8.33,2.67,76.83,48.67,37.83,18.5,2.5,3.17,13.33,4.0,82.0,45.83,36.0,16.67,3.33,5.83,85.67,73.17,36.66,38.46,77.73,-0.82,65.7,19.61,21.74,53.93,35.22
85,Cincinnati Masters,2004,top2-8,7.64,2.32,68.96,41.56,33.08,16.08,2.04,2.92,7.6,2.8,70.92,41.92,29.84,13.92,4.56,7.4,76.32,63.56,39.62,50.13,79.6,8.42,58.69,10.69,8.24,54.56,28.29
86,Cincinnati Masters,2005,champion,8.17,1.5,66.33,42.33,33.5,14.83,1.5,2.83,5.83,1.67,75.17,42.83,30.0,16.17,3.17,6.17,77.33,64.17,38.7,58.36,79.14,9.1,61.79,11.79,1.62,54.65,31.44
87,Cincinnati Masters,2005,top2-8,7.84,1.84,65.4,39.08,31.52,15.72,1.84,2.8,5.76,2.36,70.68,42.44,29.2,13.48,3.28,6.08,75.24,60.84,40.39,57.65,80.66,11.86,59.73,12.0,11.76,55.29,31.53
88,Cincinnati Masters,2006,champion,14.17,1.5,65.67,43.83,35.17,12.33,1.33,2.0,7.5,2.33,73.0,41.33,30.17,14.83,5.67,8.17,75.5,63.17,40.51,65.39,80.24,7.24,56.46,9.63,-2.9,54.45,19.67
89,Cincinnati Masters,2006,top2-8,4.64,2.24,66.04,42.0,32.48,13.28,2.36,3.48,5.08,2.36,70.48,40.56,28.32,13.76,3.28,6.28,74.16,62.36,39.97,47.74,77.33,7.51,55.24,9.25,15.59,54.32,35.66
90,Cincinnati Masters,2007,champion,9.4,1.6,75.2,46.8,35.6,16.0,3.2,4.4,5.2,5.6,79.2,40.6,28.6,19.2,4.0,7.2,83.0,71.4,40.31,64.38,76.07,5.63,56.34,6.6,17.17,53.76,37.93
91,Cincinnati Masters,2007,top2-8,7.04,2.33,67.75,41.5,32.71,14.79,2.29,3.33,5.5,2.79,66.88,38.0,27.33,13.17,2.67,5.79,73.88,60.75,40.08,56.14,78.82,6.9,56.34,10.74,22.66,54.88,36.51
92,Cincinnati Masters,2008,champion,6.0,3.2,62.8,35.8,28.4,14.2,2.4,4.4,5.8,3.0,73.0,44.2,28.2,11.6,4.8,8.6,75.8,60.0,45.54,50.85,79.33,15.53,52.59,12.31,-1.26,55.82,33.85
93,Cincinnati Masters,2008,top2-8,9.3,2.22,73.91,46.65,36.57,15.52,2.78,3.65,4.83,2.74,69.52,40.48,29.39,15.39,3.0,5.3,76.83,66.61,37.35,65.82,78.39,5.79,56.93,3.93,19.56,53.56,40.78
94,Cincinnati Masters,2009,champion,8.4,1.2,63.2,37.6,31.6,14.6,1.6,2.4,5.8,2.4,70.4,41.0,28.0,14.8,5.4,8.2,73.8,59.8,38.97,59.15,84.04,15.75,57.03,6.69,0.82,55.24,22.64
95,Cincinnati Masters,2009,top2-8,6.95,2.05,72.1,43.24,34.33,16.43,3.05,4.1,6.67,3.38,76.9,44.86,31.24,15.67,4.38,7.33,80.76,68.24,39.76,51.03,79.39,9.75,56.93,8.02,14.64,54.2,35.87
96,Cincinnati Masters,2010,champion,8.0,1.25,63.25,38.25,31.0,14.75,1.0,1.25,6.5,1.5,73.25,41.0,25.5,18.75,3.25,5.0,74.75,61.75,41.91,55.17,81.05,18.85,59.0,0.86,15.0,54.76,20.0
97,Cincinnati Masters,2010,top2-8,9.1,2.62,83.71,48.1,38.24,19.33,3.29,4.86,7.24,3.86,87.33,51.57,35.9,16.95,4.24,7.57,92.05,79.0,39.6,55.69,79.5,9.89,54.28,6.88,11.69,53.81,39.1
