,tourney_name,Era,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,winner_total_points,w_1stSv%,w_1stSvWin%,w_2ndSvWin%,w_SvGms,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,loser_total_points,l_1stSv%,l_1stSvWin%,l_2ndSvWin%,l_SvGms,points_difference,1stSv%_difference,1stSvWin%_difference,2ndSvWin%_difference,ace%,bpFaced%
43,Rome Masters,2016-2020,4.55,1.62,66.38,42.81,31.93,13.61,2.32,3.67,75.65,64.48,75.87,58.65,11.02,3.95,2.13,70.6,43.47,28.22,12.28,4.31,7.95,61.33,61.41,63.97,44.08,10.77,14.31,3.06,11.9,14.57,51.63,31.45
44,Shanghai Masters,2001-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Shanghai Masters,2006-2010,6.41,1.78,64.81,41.78,32,12.63,2.63,3.74,73.74,64.6,78.13,55.81,10.67,5.37,2.07,68.52,43.22,28.7,10.7,3.93,7.26,59.59,63.46,65.27,41.69,10.41,14.15,1.14,12.86,14.12,54.41,34
46,Shanghai Masters,2011-2015,7.26,1.88,69.05,42.61,33.19,14.97,2.65,3.74,78.09,62.04,79.26,57.24,11.22,5.56,2.4,72.72,44.55,29.85,12.94,4.32,7.59,63.67,61.29,66.3,45.52,10.99,14.42,0.75,12.96,11.71,56.73,32.85
47,Shanghai Masters,2016-2020,7.95,1.76,68.64,45.53,35.7,13.07,2.44,3.47,78.08,67.08,79.24,58.46,11.36,6.22,2.55,73.89,46.53,31.83,12.74,4.11,7.11,64.45,62.77,67.54,46.15,11.09,13.63,4.31,11.7,12.31,56.01,32.74
48,Stuttgart Masters,2001-2005,10.96,3.19,83.69,47.15,37.15,19.92,3.38,4.96,91.54,57.1,79.13,54.92,13.23,8.69,3.04,88.88,51.42,36.35,18.08,5.04,8,81.04,57.87,69.54,48.41,13.04,10.5,-0.77,9.59,6.51,55.78,38.27
49,Stuttgart Masters,2006-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Stuttgart Masters,2011-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Stuttgart Masters,2016-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,US Open,2001-2005,11.33,4.23,104,62.83,48.64,23.66,4.14,5.89,117.72,60.36,78.13,58.31,17.03,9.42,5.43,110.96,64.78,44.39,21.15,6.82,11.82,97.24,58.35,67.45,44.76,16.91,20.48,2.01,10.68,13.55,54.6,33.25
53,US Open,2006-2010,10.08,3.05,104.53,65.33,49.96,22.15,4.25,6.32,118.35,62.94,77.5,58.18,17.31,7.52,4.63,111.16,66.68,44.48,20.43,6.35,11.7,97.35,59.9,65.65,45.14,16.99,21,3.04,11.85,13.03,57.15,35.09
54,US Open,2011-2015,9.15,3.4,101.4,61.8,47.25,22.54,4.28,6.18,116.14,61.45,77.5,57.91,16.7,7,4.44,109.42,63.89,42.27,20.8,6.72,12.04,94.68,58.31,65.39,44.57,16.46,21.47,3.15,12.11,13.34,56.52,33.92
55,US Open,2016-2020,10.34,3.57,101.66,61.67,47.74,22.6,4.1,6.01,114.67,61.04,78.45,57.51,16.95,6.5,4.78,107.25,63.35,42.47,20.45,6.68,11.81,94.25,58.88,66.06,45.82,16.47,20.42,2.16,12.39,11.69,61.42,33.58
56,Wimbledon,2001-2005,12.28,4.3,109.62,67.8,53,23.1,4.21,6.12,122.19,62.03,79.21,56.66,17.9,7.83,4.92,116,70.77,48.58,21.32,6.76,11.58,103.42,60.83,68.09,46.58,17.68,18.77,1.2,11.12,10.07,60.84,34.51
57,Wimbledon,2006-2010,13,2.8,108.69,69.37,55.09,22.82,3.45,4.93,121.64,63.98,80.44,59.35,18.13,9.13,4.09,114.73,70.93,49.98,21.02,5.75,10.05,101.78,61.66,69.63,47.1,17.73,19.87,2.32,10.8,12.25,58.66,32.92
58,Wimbledon,2011-2015,13.81,2.6,102.08,66.17,53.26,21.01,3.38,4.47,117.84,64.98,81.36,59.72,17.34,9.1,3.79,112.02,71.01,49.35,19.1,6.21,10.49,96.26,63.29,68.88,45.99,17.03,21.59,1.69,12.47,13.72,60.15,29.91
59,Wimbledon,2016-2020,14.19,2.83,104.12,67.85,55.13,20.93,3.27,4.52,119.66,65.18,81.82,58.84,17.97,9.89,4.12,113.66,71.28,49.84,20.23,6.16,10.43,98.12,62.32,68.5,46.78,17.6,21.53,2.86,13.31,12.06,58.16,30.23
