tourney_name,year,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,winner_total_points,w_1stSv%,w_1stSvWin%,w_2ndSvWin%,w_SvGms,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,loser_total_points,l_1stSv%,l_1stSvWin%,l_2ndSvWin%,l_SvGms,points_difference,1stSv%_difference,1stSvWin%_difference,2ndSvWin%_difference,ace%,bpFaced%
Australian Open,2001,8.03,3.67,100.59,61.38,47.13,21.56,3.9,6.1,115.92,61.63,77.7,56.13,16.31,8.67,5.05,108.67,61.26,40.69,20.74,7.08,12.85,93.33,56.59,65.67,43.43,16.41,22.590000000000003,5.04,12.03,12.7,48.08,32.19
Australian Open,2002,11.97,3.41,111.41,62.74,47.05,26.46,4.62,7.41,124.59,56.87,75.48,55.34,17.64,8.13,4.9,119.85,69.67,46.0,22.77,7.9,13.69,106.67,57.99,64.74,44.56,17.74,17.92,-1.12,10.74,10.78,59.55,35.12
Australian Open,2003,8.47,2.92,100.55,60.18,45.58,22.16,4.03,6.55,116.63,60.21,76.05,55.47,16.61,6.32,4.5,111.29,64.74,41.58,20.82,7.18,13.34,95.21,57.64,62.42,43.71,16.61,21.42,2.57,13.63,11.76,57.27,32.93
Australian Open,2004,10.59,2.23,95.31,55.62,43.87,21.87,3.97,5.46,108.1,58.81,79.39,55.53,15.62,5.38,3.9,99.67,61.15,40.13,17.18,5.67,10.95,86.87,61.04,64.33,42.69,15.33,21.22999999999999,-2.23,15.06,12.84,66.31,33.27
Australian Open,2005,10.51,2.87,101.95,62.51,47.87,21.56,4.49,6.67,117.62,61.85,77.52,56.56,16.62,6.92,4.31,110.95,65.77,42.23,20.54,7.33,13.08,95.28,58.69,62.77,45.17,16.54,22.340000000000003,3.16,14.75,11.39,60.3,33.77
Australian Open,2006,7.15,3.0,110.69,64.08,46.49,26.1,5.1,8.13,123.72,57.6,74.02,57.97,17.9,7.1,5.03,116.59,69.1,44.46,21.0,7.33,13.77,103.56,59.22,63.4,43.46,17.69,20.159999999999997,-1.62,10.62,14.51,50.18,37.12
Australian Open,2007,10.64,2.13,98.05,62.46,48.46,20.31,2.67,4.38,113.41,64.22,78.67,58.79,16.49,8.49,3.72,106.59,63.54,42.79,19.15,5.85,10.97,91.23,59.09,65.74,43.26,16.28,22.179999999999993,5.13,12.93,15.53,55.62,28.53
Australian Open,2008,9.0,2.38,95.67,62.0,47.44,18.1,4.18,5.97,109.74,65.98,77.17,53.36,15.38,5.64,2.92,100.13,61.33,38.85,17.08,5.85,11.49,86.05,61.89,61.73,42.37,15.26,23.689999999999998,4.09,15.44,10.99,61.48,34.19
Australian Open,2009,9.05,2.33,97.46,64.79,49.05,18.74,4.13,5.67,113.05,66.44,76.54,59.04,16.0,6.49,3.05,104.51,62.46,39.97,19.28,6.62,12.26,88.92,59.52,62.38,44.48,15.85,24.129999999999995,6.92,14.16,14.56,58.24,31.62
Australian Open,2010,11.28,2.36,103.13,64.28,49.49,21.59,5.05,7.05,117.23,62.61,77.33,57.07,17.05,7.54,4.08,108.64,67.33,44.18,18.31,7.03,12.51,94.54,61.61,64.15,43.4,16.46,22.689999999999998,1.0,13.18,13.67,59.94,36.04
Australian Open,2011,8.62,2.15,85.15,53.0,41.82,17.54,2.67,4.33,104.49,62.57,79.35,56.23,14.59,5.51,3.64,97.72,58.15,36.79,15.79,7.05,13.03,78.38,59.62,62.13,37.67,14.28,26.11,2.95,17.22,18.56,61.0,24.94
Australian Open,2012,7.71,2.53,95.5,59.63,45.24,20.13,3.87,5.87,113.53,62.47,77.25,56.39,15.79,5.71,3.87,105.89,65.55,41.34,16.39,6.42,12.61,87.87,61.7,61.44,39.89,15.68,25.659999999999997,0.77,15.81,16.5,57.45,31.76
Australian Open,2013,10.49,2.21,98.82,62.38,48.97,20.92,3.69,5.15,114.54,63.4,79.36,58.5,16.49,7.05,3.18,105.62,65.74,43.92,17.05,6.79,12.18,89.9,62.1,65.37,42.01,16.13,24.64,1.3,13.99,16.49,59.81,29.72
Australian Open,2014,8.61,2.53,92.08,57.5,46.05,20.0,2.39,3.66,110.32,62.8,81.19,59.16,15.63,6.5,3.55,103.89,64.34,41.84,17.79,6.66,11.55,85.66,62.01,64.92,43.9,15.47,24.659999999999997,0.79,16.27,15.26,56.98,24.06
Australian Open,2015,12.79,2.77,101.15,65.38,51.36,20.92,3.15,4.56,116.67,64.38,79.71,59.68,17.1,9.15,3.85,110.23,69.18,47.05,18.79,6.72,11.38,94.72,62.48,67.45,45.39,16.54,21.950000000000003,1.9,12.26,14.29,58.3,28.61
Australian Open,2016,10.69,2.69,94.64,59.59,47.18,20.59,3.0,4.33,111.72,62.98,80.3,59.44,16.41,6.9,4.0,104.26,64.1,42.95,17.36,6.56,11.41,87.18,61.14,66.23,42.42,15.79,24.539999999999992,1.84,14.07,17.02,60.77,27.51
Australian Open,2017,13.23,3.36,112.28,71.69,55.49,22.85,4.97,6.92,125.95,63.74,78.26,56.88,18.46,9.0,4.15,119.1,76.46,51.33,20.15,7.08,11.97,105.44,63.83,66.73,47.32,17.92,20.510000000000005,-0.09,11.53,9.56,59.51,36.63
Australian Open,2018,11.87,3.18,105.9,69.38,54.15,19.74,4.44,6.18,119.85,64.69,79.41,56.29,17.08,8.79,4.33,112.54,69.64,47.0,19.59,7.31,12.21,98.59,61.73,66.11,44.97,16.69,21.25999999999999,2.96,13.3,11.32,57.45,33.61
Australian Open,2019,12.1,2.51,111.26,74.21,58.36,21.77,3.15,4.62,125.64,67.31,79.41,60.9,18.69,12.41,3.95,120.64,76.95,54.31,20.82,6.59,11.18,106.26,63.49,69.35,46.56,18.26,19.379999999999995,3.82,10.06,14.34,49.37,29.24
Australian Open,2020,12.64,2.54,101.95,68.08,54.15,18.97,3.56,5.21,116.69,66.73,80.63,57.19,17.41,8.74,3.33,110.36,71.36,48.18,18.62,6.36,10.74,95.62,64.49,66.6,46.06,16.92,21.069999999999993,2.24,14.03,11.13,59.12,32.66
Canada Masters,2001,6.19,3.58,77.55,44.81,33.29,18.35,3.61,5.16,83.61,58.44,74.84,56.28,11.97,5.97,4.16,76.58,42.68,28.97,15.65,4.48,8.1,70.52,55.44,67.79,44.33,11.74,13.090000000000003,3.0,7.05,11.95,50.9,38.91
Canada Masters,2002,8.29,2.29,68.65,41.26,32.16,15.52,2.97,4.16,76.84,60.33,78.9,57.52,11.23,5.29,2.94,72.55,41.68,29.16,14.23,4.45,7.61,64.35,57.38,69.3,44.78,11.13,12.490000000000009,2.95,9.6,12.74,61.05,35.34
Canada Masters,2003,6.19,2.39,63.71,36.97,29.03,15.48,2.26,3.52,74.74,58.47,78.87,58.54,10.74,4.48,3.84,72.1,40.13,27.16,14.71,4.29,7.55,61.06,55.42,66.53,45.35,10.71,13.679999999999993,3.05,12.34,13.19,58.01,31.8
Canada Masters,2004,8.68,1.94,70.26,42.68,34.29,15.19,2.9,3.97,77.48,60.95,80.29,55.14,11.58,7.1,2.39,73.13,44.23,30.84,14.29,4.1,6.81,65.9,60.47,68.31,48.61,11.23,11.579999999999998,0.48,11.98,6.53,55.01,36.83
Canada Masters,2005,5.77,2.81,71.52,43.48,33.39,16.19,2.97,4.19,79.52,61.86,77.61,61.36,11.68,5.61,2.94,74.03,43.32,29.32,14.77,4.39,7.77,66.03,58.43,67.14,47.66,11.39,13.489999999999995,3.43,10.47,13.7,50.7,35.03
Canada Masters,2006,4.29,2.9,72.55,42.45,31.61,17.03,3.74,5.29,80.0,58.61,75.86,56.7,11.52,3.68,2.48,74.13,42.77,27.65,15.13,4.55,8.26,66.68,57.63,63.73,47.94,11.23,13.319999999999993,0.98,12.13,8.76,53.83,39.04
Canada Masters,2007,8.28,1.88,72.76,46.88,37.32,13.68,3.48,4.68,81.28,64.9,80.73,55.36,11.64,5.6,2.6,76.76,45.44,31.08,15.4,3.88,6.96,68.24,58.65,67.4,48.53,11.56,13.040000000000006,6.25,13.33,6.83,59.65,40.21
Canada Masters,2008,5.19,1.56,72.26,43.33,32.59,15.67,3.33,4.96,79.33,59.99,75.93,55.49,11.48,4.85,2.41,74.33,44.04,29.04,14.22,4.37,8.07,67.26,59.26,65.74,46.82,11.37,12.069999999999993,0.73,10.19,8.67,51.69,38.07
Canada Masters,2009,8.13,2.13,69.87,43.57,34.61,15.04,3.3,4.26,77.96,61.88,79.15,56.57,11.17,5.65,2.43,73.96,43.87,30.83,14.83,4.04,6.57,65.87,59.34,69.57,46.95,11.04,12.08999999999999,2.54,9.58,9.62,59.0,39.34
Canada Masters,2010,6.27,2.62,72.19,44.5,33.12,15.12,3.27,4.85,80.85,62.29,76.29,55.86,11.5,5.23,2.92,77.15,46.23,30.73,13.81,5.58,9.19,68.5,59.45,66.65,43.85,11.38,12.349999999999994,2.84,9.64,12.01,54.52,34.54
Canada Masters,2011,5.81,2.54,71.23,41.31,31.65,16.58,3.04,4.31,76.96,58.13,77.93,56.77,11.31,4.85,4.0,68.96,39.69,27.31,12.92,4.85,8.12,63.23,57.11,68.7,43.62,10.65,13.729999999999997,1.02,9.23,13.15,54.5,34.67
Canada Masters,2012,7.08,2.71,65.62,39.38,31.88,14.96,2.79,3.62,75.17,60.34,81.84,58.53,10.96,3.58,2.5,69.71,38.83,26.12,15.25,4.58,7.71,60.17,55.93,66.79,48.13,10.58,15.0,4.41,15.05,10.4,66.42,31.95
Canada Masters,2013,6.68,2.86,70.32,43.82,32.21,14.39,3.86,5.54,76.0,61.9,75.58,58.55,11.0,4.86,4.71,70.64,40.75,27.21,14.04,3.68,7.14,64.96,57.92,64.84,44.49,10.79,11.040000000000006,3.98,10.74,14.06,57.89,43.69
Canada Masters,2014,10.32,2.76,77.16,46.36,37.4,17.04,3.44,4.48,83.76,60.0,81.5,55.84,12.6,4.96,3.24,79.72,47.84,34.36,16.04,3.64,6.4,73.12,59.51,71.36,49.49,12.44,10.64,0.49,10.14,6.35,67.54,41.18
Canada Masters,2015,8.59,2.44,72.93,47.56,37.7,14.22,2.41,3.59,82.04,65.33,80.0,57.09,11.96,6.3,3.19,77.63,47.74,33.41,14.11,3.74,6.81,68.52,61.16,69.49,45.88,11.7,13.52000000000001,4.17,10.51,11.21,57.69,34.52
Canada Masters,2016,7.73,2.92,67.15,40.62,31.54,15.04,3.08,4.23,74.19,61.04,78.62,57.64,10.88,5.65,3.04,67.81,39.0,27.12,13.08,3.62,6.65,60.77,57.46,69.16,44.61,10.54,13.419999999999995,3.58,9.46,13.03,57.77,38.88
Canada Masters,2017,7.48,3.83,75.79,46.0,34.62,16.17,4.0,5.62,82.41,60.49,76.9,55.04,11.83,4.62,4.24,77.07,44.76,30.83,14.62,3.72,7.14,70.45,57.52,68.44,44.99,11.66,11.959999999999994,2.97,8.46,10.05,61.82,44.04
Canada Masters,2018,8.12,2.46,71.0,42.62,33.69,16.35,2.65,3.85,77.23,60.57,79.89,59.29,11.62,5.69,3.08,71.38,42.08,29.81,14.38,3.31,6.27,65.15,58.31,70.35,48.59,11.27,12.079999999999998,2.26,9.54,10.7,58.8,38.04
Canada Masters,2019,6.67,2.96,69.25,43.83,33.88,13.42,2.88,4.25,77.58,63.64,78.45,54.01,11.25,4.5,2.92,72.96,44.83,30.0,12.67,4.71,8.38,64.62,61.63,66.57,43.82,11.08,12.959999999999994,2.01,11.88,10.19,59.71,33.65
Cincinnati Masters,2001,8.48,2.94,66.13,37.48,29.97,16.77,2.87,4.0,77.48,57.26,80.84,59.98,10.87,5.39,4.52,73.71,39.03,27.81,15.16,4.74,8.06,62.35,52.65,70.65,43.49,10.81,15.130000000000003,4.61,10.19,16.49,61.14,33.17
Cincinnati Masters,2002,6.45,2.74,67.65,40.13,31.45,15.74,2.71,3.77,77.16,58.76,79.18,58.12,11.0,6.45,3.61,72.61,42.45,29.84,12.81,4.23,7.48,63.1,58.52,68.46,40.82,10.77,14.059999999999995,0.24,10.72,17.3,50.0,33.51
Cincinnati Masters,2003,8.29,2.39,71.52,44.87,35.19,14.97,2.32,3.16,78.35,62.47,79.52,58.39,11.48,6.42,3.52,73.13,41.9,29.84,15.1,3.71,6.65,66.29,56.95,69.78,48.05,11.29,12.059999999999988,5.52,9.74,10.34,56.36,32.21
Cincinnati Masters,2004,7.77,2.39,70.48,42.94,34.0,16.55,2.13,2.97,78.13,60.15,80.79,61.16,11.68,8.71,3.03,73.06,42.68,31.03,14.45,4.32,7.1,65.42,57.96,71.3,46.51,11.48,12.709999999999994,2.19,9.49,14.65,47.15,29.49
Cincinnati Masters,2005,7.9,1.77,65.58,39.71,31.9,15.55,1.77,2.81,75.65,60.77,80.83,61.08,11.32,5.77,2.23,71.55,42.52,29.35,14.0,3.26,6.1,61.48,59.12,68.73,47.98,10.9,14.170000000000009,1.65,12.1,13.1,57.79,31.54
Cincinnati Masters,2006,6.48,2.1,65.97,42.35,33.0,13.1,2.16,3.19,74.42,65.5,78.53,56.62,10.97,5.55,2.35,70.97,40.71,28.68,13.97,3.74,6.65,62.52,57.86,70.37,46.62,10.77,11.899999999999999,7.64,8.16,10.0,53.87,32.42
Cincinnati Masters,2007,7.45,2.21,69.03,42.41,33.21,15.0,2.45,3.52,75.45,61.2,79.73,56.34,11.31,5.45,3.28,69.0,38.45,27.55,14.21,2.9,6.03,62.59,56.35,71.62,44.7,11.1,12.86,4.85,8.11,11.64,57.75,36.86
Cincinnati Masters,2008,8.71,2.39,71.93,44.71,35.11,15.29,2.71,3.79,76.64,62.72,79.31,56.26,11.39,5.0,2.79,70.14,41.14,29.18,14.71,3.32,5.89,65.43,58.2,69.97,49.7,11.07,11.209999999999994,4.52,9.34,6.56,63.53,39.15
Cincinnati Masters,2009,7.23,1.88,70.38,42.15,33.81,16.08,2.77,3.77,79.42,59.88,81.82,56.67,11.5,6.5,3.19,75.65,44.12,30.62,15.5,4.58,7.5,66.62,57.85,69.22,48.73,11.23,12.799999999999997,2.03,12.6,7.94,52.66,33.45
Cincinnati Masters,2010,8.92,2.4,80.44,46.52,37.08,18.6,2.92,4.28,89.28,57.96,80.9,54.82,12.8,7.12,3.48,85.08,49.88,34.24,17.24,4.08,7.16,76.24,58.83,67.82,49.08,12.48,13.040000000000006,-0.87,13.08,5.74,55.61,37.41
Cincinnati Masters,2011,6.79,2.08,64.33,38.12,29.38,13.88,2.25,3.58,75.71,58.8,78.88,52.62,10.5,3.92,3.21,72.83,43.67,27.92,12.46,5.12,9.08,61.46,59.5,62.5,42.21,10.5,14.249999999999993,-0.7,16.38,10.41,63.4,28.28
Cincinnati Masters,2012,8.0,2.07,63.39,36.36,28.75,15.57,2.61,3.46,73.14,57.81,79.83,56.8,10.21,4.64,3.64,68.18,38.68,25.57,13.79,4.46,7.64,58.43,57.04,65.07,45.69,10.11,14.71,0.77,14.76,11.11,63.29,31.17
Cincinnati Masters,2013,8.04,2.12,68.72,44.16,34.36,14.16,1.96,3.0,79.48,63.13,78.88,59.14,11.36,5.6,3.44,77.24,45.4,30.84,15.44,4.92,7.96,66.48,57.96,66.74,47.71,11.2,13.0,5.17,12.14,11.43,58.94,27.37
Cincinnati Masters,2014,6.5,3.15,72.35,44.62,34.77,14.92,3.04,4.38,82.27,61.86,78.67,54.19,11.69,5.88,3.0,78.54,46.15,31.08,14.88,4.69,8.35,68.62,57.74,65.44,45.61,11.69,13.649999999999991,4.12,13.23,8.58,52.5,34.41
Cincinnati Masters,2015,6.76,2.6,70.6,41.24,31.48,17.08,2.6,3.84,78.16,58.04,78.5,59.08,11.44,6.48,3.36,73.16,41.36,28.68,14.88,4.04,7.2,65.6,56.02,67.29,45.99,11.12,12.560000000000002,2.02,11.21,13.09,51.06,34.78
Cincinnati Masters,2016,8.85,2.63,66.52,39.19,31.59,15.85,1.96,2.89,73.7,58.98,81.31,58.64,11.19,6.85,3.15,68.3,40.78,29.3,12.74,3.19,5.89,61.11,59.07,71.37,44.16,10.78,12.590000000000003,-0.09,9.94,14.48,56.37,32.92
Cincinnati Masters,2017,9.32,3.68,69.54,42.43,34.14,15.43,2.86,3.82,78.32,61.0,81.25,58.15,11.36,6.5,3.68,73.46,41.36,29.36,15.36,4.25,7.0,64.68,56.75,70.5,47.57,11.14,13.639999999999986,4.25,10.75,10.58,58.91,35.3
Cincinnati Masters,2018,7.32,2.71,71.04,44.61,34.71,15.21,2.46,3.68,81.0,63.06,78.81,58.86,11.79,7.32,3.89,79.0,46.89,32.71,15.21,4.54,7.5,69.04,59.38,69.49,47.54,11.64,11.959999999999994,3.68,9.32,11.32,50.0,32.92
Cincinnati Masters,2019,6.59,2.62,69.41,42.55,32.07,15.48,2.69,3.76,74.93,61.41,75.92,57.41,11.17,5.48,2.72,67.97,40.14,28.14,12.45,3.24,6.38,62.45,59.08,69.92,44.88,10.83,12.480000000000004,2.33,6.0,12.53,54.6,37.08
Cincinnati Masters,2020,9.44,3.48,66.15,39.26,31.07,14.3,3.07,4.37,72.74,59.61,80.59,56.25,10.81,4.81,3.22,67.74,39.85,27.7,12.67,3.52,6.63,61.15,58.14,68.7,45.79,10.59,11.589999999999996,1.47,11.89,10.46,66.25,39.73
Hamburg Masters,2001,2.16,2.1,68.9,42.42,29.61,13.84,4.0,6.23,78.35,62.71,70.71,53.81,10.61,2.68,2.32,72.1,40.84,24.55,12.65,5.35,10.23,62.65,57.16,59.54,39.39,10.52,15.699999999999996,5.55,11.17,14.42,44.63,37.85
Hamburg Masters,2002,4.9,2.29,67.97,41.35,29.55,14.87,3.74,5.48,75.1,60.89,72.44,56.11,10.77,2.71,3.03,70.1,41.68,26.74,12.68,4.48,8.52,62.97,59.21,64.91,44.62,10.71,12.129999999999995,1.68,7.53,11.49,64.39,39.14
Hamburg Masters,2003,3.9,2.06,69.81,42.39,30.0,15.23,3.68,5.58,79.06,60.92,72.97,57.1,10.97,3.23,3.23,72.81,43.42,26.29,12.68,5.19,9.87,63.55,59.6,59.38,42.53,10.84,15.510000000000005,1.32,13.59,14.57,54.7,36.12
Hamburg Masters,2004,3.71,1.39,71.77,42.74,30.94,16.26,3.45,5.29,79.97,59.9,73.67,58.36,11.42,2.35,2.71,73.55,45.35,28.19,12.58,4.77,9.1,65.35,61.47,61.51,44.92,11.32,14.620000000000005,-1.57,12.16,13.44,61.22,36.76
Hamburg Masters,2005,1.65,1.19,64.77,40.71,28.48,13.39,3.77,5.58,72.9,63.54,71.98,58.21,10.13,1.68,1.71,64.65,39.0,22.71,10.9,4.45,9.1,56.52,60.36,56.67,41.29,10.13,16.380000000000003,3.18,15.31,16.92,49.55,38.01
Hamburg Masters,2006,3.42,1.58,67.19,44.55,31.45,12.84,4.03,5.52,74.42,65.97,72.46,56.89,10.55,2.13,2.19,66.65,41.74,25.06,11.45,3.84,7.84,59.42,62.04,58.85,45.62,10.19,15.0,3.93,13.61,11.27,61.62,41.32
Hamburg Masters,2007,3.78,1.7,75.52,47.7,33.22,15.22,4.26,6.41,81.44,63.56,71.18,55.54,11.74,2.26,2.33,76.19,47.56,30.22,12.96,4.74,8.89,70.26,61.73,64.08,44.63,11.78,11.179999999999993,1.83,7.1,10.91,62.58,41.9
Hamburg Masters,2008,3.46,1.68,64.89,42.71,30.07,12.46,3.25,4.71,75.0,66.11,72.48,57.54,10.11,2.64,1.96,68.5,41.64,25.21,10.82,4.5,8.89,58.39,60.87,60.25,39.59,10.04,16.61,5.24,12.23,17.95,56.72,34.63
Indian Wells Masters,2001,6.29,2.97,67.29,38.68,29.71,15.97,2.29,3.58,75.03,57.29,77.83,57.0,11.1,4.94,3.42,69.23,38.48,25.9,13.97,3.42,7.23,61.48,55.77,66.67,45.12,10.94,13.550000000000004,1.52,11.16,11.88,56.01,33.12
Indian Wells Masters,2002,4.68,2.65,65.1,38.45,28.94,14.97,3.19,4.61,73.84,59.69,75.95,57.72,10.61,4.35,2.97,69.13,40.26,25.48,13.71,4.1,7.77,60.39,57.67,64.35,47.06,10.42,13.450000000000003,2.02,11.6,10.66,51.83,37.24
Indian Wells Masters,2003,5.8,2.7,69.9,41.07,30.6,15.53,2.8,4.53,75.63,58.39,75.99,54.07,11.23,3.53,3.1,68.17,38.83,25.47,13.2,3.97,7.93,62.43,56.67,65.48,43.17,10.97,13.199999999999996,1.72,10.51,10.9,62.17,36.36
Indian Wells Masters,2004,6.03,2.73,65.27,38.67,29.52,15.73,2.42,3.58,75.67,58.64,77.24,60.04,10.76,3.36,3.52,69.94,39.88,25.73,13.79,4.42,8.09,59.55,57.2,64.08,45.25,10.42,16.120000000000005,1.44,13.16,14.79,64.22,30.68
Indian Wells Masters,2005,5.5,1.93,63.27,37.9,29.5,14.8,3.2,4.27,74.33,60.57,78.4,59.7,10.37,3.73,2.83,68.2,39.47,25.6,12.57,4.4,8.0,57.13,57.95,63.31,42.16,10.17,17.199999999999996,2.62,15.09,17.54,59.59,34.8
Indian Wells Masters,2006,4.78,1.81,67.91,41.62,30.78,15.91,2.66,3.66,77.16,61.86,74.68,60.32,10.88,2.94,2.88,70.84,42.25,27.47,12.91,4.97,8.53,61.59,59.8,64.69,44.89,10.56,15.569999999999993,2.06,9.99,15.43,61.92,30.02
Indian Wells Masters,2007,6.71,1.71,62.19,37.77,29.16,14.0,2.48,3.39,70.45,61.12,77.8,57.92,10.1,4.32,1.81,64.77,37.81,25.03,12.45,4.39,7.77,56.52,58.49,64.76,45.72,10.0,13.93,2.63,13.04,12.2,60.83,30.38
Indian Wells Masters,2008,5.52,1.52,73.27,44.36,33.0,15.67,3.18,5.09,81.27,60.6,75.75,56.04,11.94,4.52,2.79,76.79,44.88,29.39,14.79,5.09,9.03,68.79,58.51,64.58,46.32,11.52,12.47999999999999,2.09,11.17,9.72,54.98,36.05
Indian Wells Masters,2009,5.53,1.97,65.56,42.06,32.5,13.22,2.91,4.12,74.91,63.64,79.06,57.33,10.69,4.88,2.75,70.88,41.97,28.34,13.34,3.78,7.0,61.53,58.99,67.01,45.9,10.62,13.379999999999995,4.65,12.05,11.43,53.12,37.05
Indian Wells Masters,2010,7.94,1.97,68.45,41.94,32.61,13.97,3.1,4.39,74.39,61.55,78.94,53.92,11.06,5.52,2.42,68.61,42.16,28.06,12.74,3.84,7.0,62.68,60.99,65.27,46.88,10.74,11.71,0.56,13.67,7.04,58.99,38.54
Indian Wells Masters,2011,5.56,2.28,64.44,38.38,30.25,14.81,2.56,3.75,75.22,59.6,80.02,58.22,10.72,3.66,3.03,69.44,40.47,26.28,13.0,4.19,7.81,58.66,58.11,63.75,43.31,10.44,16.560000000000002,1.49,16.27,14.91,60.3,32.44
Indian Wells Masters,2012,6.25,1.78,71.88,43.56,33.47,17.0,2.75,3.94,81.81,61.02,77.86,61.1,11.91,4.0,2.75,77.25,45.59,30.88,15.03,4.09,7.38,67.31,58.74,67.45,47.16,11.69,14.5,2.28,10.41,13.94,60.98,34.81
Indian Wells Masters,2013,5.1,2.19,69.74,41.94,31.87,14.74,3.06,4.52,78.58,60.74,77.47,54.19,11.16,3.68,3.16,73.1,43.55,28.39,12.74,4.97,8.81,64.26,59.02,65.02,42.56,11.03,14.319999999999993,1.72,12.45,11.63,58.09,33.91
Indian Wells Masters,2014,9.47,2.75,71.56,44.66,35.44,14.75,2.16,3.41,81.19,62.72,80.37,56.78,11.81,3.78,3.16,78.03,46.34,31.66,15.38,4.75,7.69,68.41,59.1,68.52,48.65,11.56,12.780000000000001,3.62,11.85,8.13,71.47,30.72
Indian Wells Masters,2015,7.03,1.9,64.63,39.9,30.7,14.83,3.07,4.0,73.33,61.52,78.23,62.07,10.77,4.17,2.8,67.07,38.8,26.3,12.97,3.87,7.2,58.37,57.65,66.79,45.79,10.37,14.96,3.87,11.44,16.28,62.77,35.71
Indian Wells Masters,2016,5.03,2.55,69.06,43.35,32.55,13.9,2.74,4.32,78.06,62.72,76.63,55.82,11.06,4.58,3.55,73.35,43.65,28.9,12.84,4.55,8.19,64.35,59.1,65.9,43.18,10.87,13.710000000000008,3.62,10.73,12.64,52.34,34.53
Indian Wells Masters,2017,6.41,2.34,67.21,41.17,31.21,15.66,2.28,3.34,75.31,61.61,76.93,60.53,11.07,4.21,3.48,71.14,43.14,29.9,12.79,4.07,6.97,63.03,59.49,69.03,45.06,10.76,12.280000000000001,2.12,7.9,15.47,60.36,32.4
Indian Wells Masters,2018,7.97,2.23,72.1,44.74,34.39,15.65,2.87,4.19,79.87,61.99,78.01,57.93,11.71,4.39,2.97,74.68,44.32,30.06,14.77,4.39,7.74,66.9,58.45,66.34,47.53,11.65,12.969999999999999,3.54,11.67,10.4,64.48,35.12
Indian Wells Masters,2019,5.87,2.07,64.77,40.37,30.8,14.53,2.97,4.03,73.03,62.25,77.15,61.25,10.73,4.8,3.03,67.63,41.43,27.7,12.23,4.0,7.13,59.37,61.33,65.59,46.25,10.43,13.660000000000004,0.92,11.56,15.0,55.01,36.11
Madrid Masters,2002,4.4,2.2,66.56,40.16,30.96,15.52,2.36,3.32,75.48,58.99,78.88,60.49,10.76,6.16,2.24,70.2,39.4,27.6,13.6,3.44,6.68,61.28,56.66,68.2,42.8,10.64,14.200000000000003,2.33,10.68,17.69,41.67,33.2
Madrid Masters,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madrid Masters,2004,9.73,2.58,68.85,40.96,33.0,16.85,2.73,3.38,77.85,59.97,80.96,61.08,11.38,6.58,3.42,72.35,41.12,29.08,15.27,3.96,6.62,63.35,56.81,70.82,47.72,11.08,14.499999999999993,3.16,10.14,13.36,59.66,33.8
Madrid Masters,2005,8.62,2.08,80.83,52.17,40.12,17.04,2.33,3.54,87.75,64.01,77.37,60.71,13.08,8.04,3.5,84.58,52.08,37.46,16.54,3.96,6.21,77.67,61.85,70.87,49.95,12.83,10.079999999999998,2.16,6.5,10.76,51.74,36.31
Madrid Masters,2006,7.83,1.88,75.54,48.04,36.58,15.96,2.83,4.04,82.67,63.95,77.06,58.76,12.12,6.12,2.75,77.62,47.5,33.17,14.33,3.96,7.08,70.5,61.29,69.33,47.17,11.88,12.170000000000002,2.66,7.73,11.59,56.13,36.33
Madrid Masters,2007,6.26,1.81,67.11,39.89,31.7,15.59,2.7,3.52,75.04,59.75,81.11,57.43,10.81,5.74,2.37,69.78,41.67,28.89,13.15,3.59,6.37,61.85,59.6,68.79,45.69,10.63,13.190000000000005,0.15,12.32,11.74,52.17,35.59
Madrid Masters,2008,7.54,1.5,70.65,42.31,33.69,16.58,2.81,3.77,77.54,60.36,81.27,59.94,11.46,6.35,2.88,72.73,44.08,31.69,13.77,3.73,6.27,65.85,60.08,71.4,47.09,11.19,11.690000000000012,0.28,9.87,12.85,54.28,37.55
Madrid Masters,2009,5.0,1.68,71.18,44.77,33.45,14.86,2.91,3.91,76.45,62.65,76.56,57.73,10.82,4.77,2.27,69.95,43.82,29.05,12.77,3.95,7.09,64.68,62.45,65.75,47.35,10.73,11.769999999999996,0.2,10.81,10.38,51.18,35.55
Madrid Masters,2010,4.07,1.25,62.71,41.71,30.61,11.82,3.29,4.57,74.36,65.42,74.87,55.81,10.18,4.11,1.71,71.14,43.71,27.29,11.93,5.29,8.86,59.5,63.13,61.33,41.08,10.14,14.86,2.29,13.54,14.73,49.76,34.03
Madrid Masters,2011,5.17,1.5,67.46,44.04,33.62,13.58,2.83,4.04,76.71,64.7,77.6,60.36,10.96,4.08,1.12,71.46,44.08,29.04,12.92,4.17,7.54,62.21,61.21,65.22,46.81,10.62,14.499999999999993,3.49,12.38,13.55,55.89,34.89
Madrid Masters,2012,8.23,2.0,74.62,47.96,37.19,14.46,3.08,4.38,81.23,65.37,78.82,57.04,12.12,5.88,2.73,75.85,44.27,30.5,15.77,3.62,6.62,69.23,57.69,68.34,49.21,11.92,12.0,7.68,10.48,7.83,58.33,39.82
